Algoritmo,Base,Repeticao,|D|,|D+|,|D-|,Atributos,|I|,Tempo,Testes,Seed,WRAcc,WRAccN,size,TP,FP,overollSuppP,CoverRedundancyP,DescripRDensity,DescripRDominator,Qg,Chi_Quad,p_value,Lift,DiffSup,K,GrowthRate,OddsRatio,cov,conf,supp,suppP,suppN
SSDPHD1-k10-foQg,evasao,3,118755,18528,100227,177,374,295.848,46511,132011827,3.11E-05,1.24E-04,3.4,4.5,0.7,0.001565199,1.996869603,0.470588235,0.6,2.903333333,20.4313868,4.03E-04,5.989310773,2.36E-04,10,Infinity,Infinity,4.38E-05,0.934444444,3.79E-05,2.43E-04,6.98E-06
SSDPHD1-k10-foQg,evasao,4,118755,18528,100227,177,374,3631.355,573889,124987441,3.83E-05,1.53E-04,5.1,5.5,0.6,0.002104922,1.995790155,0.294117647,0.6,3.75,26.26059164,1.83E-05,6.163326833,2.91E-04,10,Infinity,Infinity,5.14E-05,0.961594203,4.63E-05,2.97E-04,5.99E-06
SSDPHD1-k10-foQg,evasao,5,118755,18528,100227,177,374,96.363,15868,123979721,4.47E-05,1.79E-04,3.6,6.7,2.2,0.002266839,1.995466321,0.388888889,0.6,2.613589744,25.27282882,4.03E-04,5.69834035,3.40E-04,10,Infinity,Infinity,7.49E-05,0.889047619,5.64E-05,3.62E-04,2.20E-05
SSDPHD1-k10-foQg,evasao,6,118755,18528,100227,177,374,282.579,47054,119777719,4.16E-05,1.67E-04,4,6.1,1.3,0.002482729,1.995034542,0.35,0.5,2.991428571,25.89316406,4.02E-04,5.909936705,3.16E-04,10,Infinity,Infinity,6.23E-05,0.922060606,5.14E-05,3.29E-04,1.30E-05
SSDPHD1-k10-foQg,evasao,7,118755,18528,100227,177,374,59.188,10111,117705823,4.47E-05,1.79E-04,3.6,6.7,2.2,0.002266839,1.995466321,0.361111111,0.6,2.613589744,25.27282882,4.03E-04,5.69834035,3.40E-04,10,Infinity,Infinity,7.49E-05,0.889047619,5.64E-05,3.62E-04,2.20E-05
SSDPHD1-k10-foQg,evasao,8,118755,18528,100227,177,374,499.898,85100,112131119,3.79E-05,1.52E-04,4.2,5.5,0.9,0.002536701,1.994926598,0.30952381,0.5,3.12,24.72145564,4.08E-04,6.09923195,2.88E-04,10,Infinity,Infinity,5.39E-05,0.951594203,4.63E-05,2.97E-04,8.98E-06
SSDPHD1-k10-foQg,evasao,9,118755,18528,100227,177,374,51.205,8732,108626351,4.33E-05,1.73E-04,3.6,6.5,2.2,0.002266839,1.995466321,0.333333333,0.6,2.413589744,24.19087648,5.03E-04,5.69834035,3.29E-04,10,Infinity,Infinity,7.33E-05,0.889047619,5.47E-05,3.51E-04,2.20E-05
SSDPHD1-k10-foQg,evasao,10,118755,18528,100227,177,374,366.053,63109,107980007,3.96E-05,1.59E-04,4.1,5.8,1.2,0.002428756,1.995142487,0.292682927,0.5,2.82,24.74296832,5.02E-04,5.924427722,3.01E-04,10,Infinity,Infinity,5.89E-05,0.924321476,4.88E-05,3.13E-04,1.20E-05
,,,,,,,,,,,,,,,,,,,,30.06100733,,,,,,,,,,,,
SSDPHD1-k10-foQg,gordon-clean50-pn-quartil50,1,181,150,31,6267,18801,5.634,848822,179424673,0.069643784,0.278575135,1.6,73.6,0,0.993333333,0.340507246,0.9375,0.2,73.6,26.61178526,5.46E-06,1.206666667,0.490666667,10,Infinity,Infinity,0.406629834,1,0.406629834,0.490666667,0
SSDPHD1-k10-foQg,gordon-clean50-pn-quartil50,2,181,150,31,6267,18801,0.022,3809,125164703,0.069549159,0.278196636,1.6,73.5,0,0.993333333,0.321360544,1,0.1,73.5,26.56437205,5.75E-06,1.206666667,0.49,10,Infinity,Infinity,0.406077348,1,0.406077348,0.49,0
SSDPHD1-k10-foQg,gordon-clean50-pn-quartil50,3,181,150,31,6267,18801,0.014,2684,132011827,0.069549159,0.278196636,1.6,73.5,0,0.993333333,0.321360544,1,0.1,73.5,26.56437205,5.75E-06,1.206666667,0.49,10,Infinity,Infinity,0.406077348,1,0.406077348,0.49,0
SSDPHD1-k10-foQg,gordon-clean50-pn-quartil50,4,181,150,31,6267,18801,0.013,2485,124987441,0.06935991,0.277439639,1.6,73.3,0,1,0.327348795,1,0.1,73.3,26.47032932,6.39E-06,1.206666667,0.488666667,10,Infinity,Infinity,0.404972376,1,0.404972376,0.488666667,0
SSDPHD1-k10-foQg,gordon-clean50-pn-quartil50,5,181,150,31,6267,18801,0.013,2258,123979721,0.069265285,0.27706114,1.6,73.2,0,1,0.336284153,1,0.1,73.2,26.4229161,6.68E-06,1.206666667,0.488,10,Infinity,Infinity,0.40441989,1,0.40441989,0.488,0
SSDPHD1-k10-foQg,gordon-clean50-pn-quartil50,6,181,150,31,6267,18801,0.012,2072,119777719,0.06917066,0.276682641,1.6,73.1,0,1,0.327332421,0.9375,0.2,73.1,26.377051,7.13E-06,1.206666667,0.487333333,10,Infinity,Infinity,0.403867403,1,0.403867403,0.487333333,0
SSDPHD1-k10-foQg,gordon-clean50-pn-quartil50,7,181,150,31,6267,18801,0.012,2069,117705823,0.06917066,0.276682641,1.6,73.1,0,1,0.327332421,0.9375,0.2,73.1,26.377051,7.13E-06,1.206666667,0.487333333,10,Infinity,Infinity,0.403867403,1,0.403867403,0.487333333,0
SSDPHD1-k10-foQg,gordon-clean50-pn-quartil50,8,181,150,31,6267,18801,0.01,1923,112131119,0.06917066,0.276682641,1.6,73.1,0,1,0.327332421,0.9375,0.2,73.1,26.377051,7.13E-06,1.206666667,0.487333333,10,Infinity,Infinity,0.403867403,1,0.403867403,0.487333333,0
SSDPHD1-k10-foQg,gordon-clean50-pn-quartil50,9,181,150,31,6267,18801,0.01,1836,108626351,0.06917066,0.276682641,1.6,73.1,0,1,0.327332421,0.9375,0.2,73.1,26.377051,7.13E-06,1.206666667,0.487333333,10,Infinity,Infinity,0.403867403,1,0.403867403,0.487333333,0
SSDPHD1-k10-foQg,gordon-clean50-pn-quartil50,10,181,150,31,6267,18801,0.01,1829,107980007,0.069076036,0.276304142,1.6,73,0,1,0.321461187,1,0.1,73,26.33193167,7.69E-06,1.206666667,0.486666667,10,Infinity,Infinity,0.403314917,1,0.403314917,0.486666667,0
,,,,,,,,,,,,,,,,,,,,732.5,,,,,,,,,,,,
SSDPHD1-k10-foQg,matrixBinaria-Global-1000-p,1,372,68,304,7794,15588,31.118,2105730,179424673,0.014059429,0.056237715,1.6,6.4,0,0.617647059,0.764705882,1,0.1,6.4,29.12584546,3.03E-07,5.470588235,0.094117647,10,Infinity,Infinity,0.017204301,1,0.017204301,0.094117647,0
SSDPHD1-k10-foQg,matrixBinaria-Global-1000-p,2,372,68,304,7794,15588,3.259,273873,125164703,0.013180715,0.052722858,1.3,6,0,0.602941176,0.794117647,1,0.1,6,27.26830683,4.97E-07,5.470588235,0.088235294,10,Infinity,Infinity,0.016129032,1,0.016129032,0.088235294,0
SSDPHD1-k10-foQg,matrixBinaria-Global-1000-p,3,372,68,304,7794,15588,0.953,113361,132011827,0.013180715,0.052722858,1.3,6,0,0.602941176,0.794117647,1,0.1,6,27.26830683,4.97E-07,5.470588235,0.088235294,10,Infinity,Infinity,0.016129032,1,0.016129032,0.088235294,0
SSDPHD1-k10-foQg,matrixBinaria-Global-1000-p,4,372,68,304,7794,15588,0.046,5490,124987441,0.012741357,0.05096543,1.2,5.8,0,0.602941176,0.794117647,1,0.1,5.8,26.34462667,6.89E-07,5.470588235,0.085294118,10,Infinity,Infinity,0.015591398,1,0.015591398,0.085294118,0
SSDPHD1-k10-foQg,matrixBinaria-Global-1000-p,5,372,68,304,7794,15588,0.038,4899,123979721,0.012741357,0.05096543,1.2,5.8,0,0.602941176,0.794117647,1,0.1,5.8,26.34462667,6.89E-07,5.470588235,0.085294118,10,Infinity,Infinity,0.015591398,1,0.015591398,0.085294118,0
SSDPHD1-k10-foQg,matrixBinaria-Global-1000-p,6,372,68,304,7794,15588,0.031,4096,119777719,0.012741357,0.05096543,1.2,5.8,0,0.602941176,0.794117647,1,0.1,5.8,26.34462667,6.89E-07,5.470588235,0.085294118,10,Infinity,Infinity,0.015591398,1,0.015591398,0.085294118,0
SSDPHD1-k10-foQg,matrixBinaria-Global-1000-p,7,372,68,304,7794,15588,0.028,3884,117705823,0.012741357,0.05096543,1.2,5.8,0,0.602941176,0.794117647,1,0.1,5.8,26.34462667,6.89E-07,5.470588235,0.085294118,10,Infinity,Infinity,0.015591398,1,0.015591398,0.085294118,0
SSDPHD1-k10-foQg,matrixBinaria-Global-1000-p,8,372,68,304,7794,15588,0.028,3739,112131119,0.012741357,0.05096543,1.2,5.8,0,0.602941176,0.794117647,1,0.1,5.8,26.34462667,6.89E-07,5.470588235,0.085294118,10,Infinity,Infinity,0.015591398,1,0.015591398,0.085294118,0
SSDPHD1-k10-foQg,matrixBinaria-Global-1000-p,9,372,68,304,7794,15588,0.028,3573,108626351,0.012741357,0.05096543,1.2,5.8,0,0.602941176,0.794117647,1,0.1,5.8,26.34462667,6.89E-07,5.470588235,0.085294118,10,Infinity,Infinity,0.015591398,1,0.015591398,0.085294118,0
SSDPHD1-k10-foQg,matrixBinaria-Global-1000-p,10,372,68,304,7794,15588,0.027,3709,107980007,0.012741357,0.05096543,1.2,5.8,0,0.602941176,0.794117647,1,0.1,5.8,26.34462667,6.89E-07,5.470588235,0.085294118,10,Infinity,Infinity,0.015591398,1,0.015591398,0.085294118,0
,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,
SSDPmais-k10-foQg,alon-clean50-pn-quartil50,1,62,40,22,1000,3000,0.703,138280,179424673,0.090426639,0.361706556,1.6,15.8,0,0.975,0.467088608,0.75,0.3,15.8,11.72603951,9.01E-04,1.55,0.395,10,Infinity,Infinity,0.25483871,1,0.25483871,0.395,0
SSDPmais-k10-foQg,alon-clean50-pn-quartil50,2,62,40,22,1000,3000,0.499,156191,125164703,0.088709677,0.35483871,1.6,15.5,0,0.95,0.437096774,0.8125,0.3,15.5,11.41933739,9.80E-04,1.55,0.3875,10,Infinity,Infinity,0.25,1,0.25,0.3875,0
SSDPmais-k10-foQg,alon-clean50-pn-quartil50,3,62,40,22,1000,3000,0.377,123276,132011827,0.085275754,0.341103018,1.6,14.9,0,0.95,0.453355705,0.875,0.3,14.9,10.85001679,0.001455228,1.55,0.3725,10,Infinity,Infinity,0.240322581,1,0.240322581,0.3725,0
